dataset,N,D,best_dim,best_lambda,scatter_auc,opp_max,elapsed_s
vertebral,240,6,64,100.0,0.8116,0.667,49.0
breast_cancer_variant1,286,41,16,10.0,0.708,0.7162,70.0
annealing_variant1,798,56,64,1.0,0.9009,0.8221,137.2
arrhythmia_variant1,452,345,64,1000.0,0.8553,0.8285,72.8
glass,214,9,32,100.0,0.8678,0.8691,58.6
sick_sick_72_variant1,3613,53,32,1.0,0.889,0.8954,498.3
audiology_variant1,226,154,256,10.0,0.9992,0.9028,65.4
sick_sick_35_variant1,3576,53,128,0.1,0.9079,0.9269,532.9
letter,1600,32,128,1000.0,0.8482,0.9327,219.2
zoo_variant1,101,36,256,100.0,1.0,0.9342,80.6
ecoli,336,9,128,1000.0,0.9575,0.9555,48.5
german_1_14_variant1,714,62,256,10.0,0.9403,0.9841,143.9
vowels,1456,12,32,1000.0,0.9827,0.9888,223.0
thyroid,3772,6,16,1.0,0.9846,0.9894,603.8
horse_1_12_variant1,256,76,256,100.0,0.9686,0.9949,74.9
creditA_plus_42_variant1,425,46,32,1.0,0.8402,0.9955,72.0
wine,129,13,32,1000.0,0.942,0.9966,48.8
heart270_2_16_variant1,166,25,256,10.0,0.9704,0.9967,72.5
vote_republican_29_variant1,296,32,128,100.0,0.9986,0.9977,73.7
lymphography,148,59,16,10.0,1.0,0.9977,79.5
tic_tac_toe_negative_69_variant1,695,27,16,10.0,1.0,0.9988,145.8
musk,3062,166,16,0.0,0.9994,1.0,455.0
iris_Irisvirginica_11_variant1,111,4,16,1.0,0.9718,1.0,51.4
hepatitis_2_9_variant1,94,32,64,10.0,1.0,1.0,50.9
monks_0_12_variant1,240,17,32,100.0,1.0,1.0,65.3
monks_0_25_variant1,253,17,256,10.0,1.0,1.0,67.7
monks_0_4_variant1,232,17,128,10.0,1.0,1.0,64.1
tic_tac_toe_negative_12_variant1,638,27,16,10.0,1.0,1.0,147.4
tic_tac_toe_negative_26_variant1,652,27,16,100.0,1.0,1.0,153.1
tic_tac_toe_negative_32_variant1,658,27,16,10.0,1.0,1.0,142.1
tic_tac_toe_negative_54_variant1,680,27,16,10.0,1.0,1.0,154.2
